,propbank,verbatlas
574,burst.01,va:0288f
575,burst.02,va:0537f
576,bury.01,va:0596f
577,bust.01,va:0134f
578,bust.02,va:0079f
579,bust.05,va:0079f
580,bustle.01,va:0030f
581,butcher.01,va:0062f
582,butt.01,va:0356f
583,buttress.01,va:0446f
584,buy.01,va:0185f
585,buy.02,va:0185f
586,buy.03,va:0185f
587,buzz.01,va:0240f
588,buzz.02,va:0240f
589,buzz.03,va:0119f
590,buzz.04,va:0068f
591,bypass.01,va:0260f
592,cadge.01,va:0330f
593,cajole.01,va:0086f
594,cake.01,va:0249f
595,calculate.01,va:0021f
596,calibrate.01,va:0091f
597,call.01,va:0065f
598,call.02,va:0067f
599,call.03,va:0330f
600,call.04,va:0067f
601,call.05,va:0067f
602,call.06,va:0491f
603,call.07,va:0009f
604,call.08,va:0067f
605,call.09,va:0373f
606,call.10,va:0129f
607,call.11,va:0125f
608,call.12,va:0067f
609,calm.01,va:0573f
610,calm.02,va:0573f
611,camouflage.01,va:0473f
612,camp.01,va:0509f
613,campaign.01,va:0597f
614,can.01,va:0128f
615,cancel.01,va:0491f
616,candy.01,va:0249f
617,canvass.01,va:0176f
618,cap.01,va:0249f
619,cap.02,va:0429f
620,capitalize.01,va:0022f
621,capitalize.02,va:0277f
622,capitulate.01,va:0533f
623,capsize.01,va:0475f
624,captain.01,va:0125f
625,caption.01,va:0496f
626,captivate.01,va:0071f
627,capture.01,va:0301f
628,care.01,va:0582f
629,careen.01,va:0137f
630,caricature.01,va:0329f
631,carol.01,va:0347f
632,carouse.01,va:0150f
633,carp.01,va:0602f
634,carry.01,va:0003f
635,carry.02,va:0114f
636,carry.03,va:0147f
637,carry.04,va:0114f
638,carry.05,va:0015f
639,cart.01,va:0003f
640,cart.02,va:0391f
641,carve.01,va:0458f
642,carve.02,va:0458f
643,carve.03,va:0453f
644,cash.01,va:0016f
645,cash.02,va:0016f
646,cash.03,va:0277f
647,cast.01,va:0234f
648,cast.02,va:0099f
649,cast.03,va:0382f
650,cast.03.2009,va:0382f
651,castigate.01,va:0035f
652,castle.01,va:0415f
653,catalog.01,va:0380f
654,catalyze.01,va:0248f
655,catapult.01,va:0202f
656,catch.01,va:0079f
657,catch.02,va:0033f
658,catch.03,va:0276f
659,catch.04,va:0005f
660,catch.05,va:0093f
661,catch.06,va:0093f
662,catch.07,va:0029f
663,categorize.01,va:0380f
664,cater.01,va:0231f
665,cause.01,va:0619f
666,caution.01,va:0318f
667,cave.01,va:0058f
668,cave.02,va:0058f
669,cease.01,va:0429f
670,cede.01,va:0253f
671,celebrate.01,va:0101f
672,celebrate.02,va:0159f
673,cement.01,va:0419f
674,censor.01,va:0181f
675,center.01,va:0343f
676,centralize.01,va:0396f
677,certify.01,va:0402f
678,chafe.01,va:0582f
679,chain.01,va:0206f
680,chair.01,va:0125f
681,chalk.01,va:0216f
682,challenge.01,va:0373f
683,champion.01,va:0360f
684,chance.01,va:0320f
685,change.01,va:0016f
686,change.02,va:0154f
687,channel.01,va:0387f
688,chant.01,va:0014f
689,char.01,va:0441f
690,characterize.01,va:0341f
691,charge.01,va:0267f
692,charge.02,va:0394f
693,charge.03,va:0496f
694,charge.04,va:0306f
695,charge.05,va:0272f
696,charge.06,va:0272f
697,charge.07,va:0612f
698,chart.01,va:0341f
699,charter.01,va:0097f
700,chase.01,va:0297f
701,chasten.01,va:0035f
702,chastise.01,va:0035f
703,chat.01,va:0009f
704,chauffeur.01,va:0003f
705,cheapen.01,va:0372f
706,cheat.01,va:0301f
707,cheat.02,va:0622f
708,check.01,va:0244f
709,check.02,va:0244f
710,check.04,va:0024f
711,check.05,va:0244f
712,check.06,va:0244f
713,cheer.01,va:0582f
714,cheer.02,va:0101f
715,cheer.03,va:0582f
716,cheerlead.01,va:0597f
717,cherish.01,va:0344f
718,chew.01,va:0051f
719,chew.02,va:0051f
720,chide.01,va:0035f
721,chill.01,va:0582f
722,chime.02,va:0009f
723,chip.01,va:0534f
724,chip.02,va:0496f
725,chisel.01,va:0453f
726,choke.01,va:0431f
727,choke.02,va:0029f
728,choke.03,va:0445f
729,choke.04,va:0029f
730,choose.01,va:0099f
731,chop.01,va:0458f
732,chop.02,va:0458f
733,chortle.01,va:0339f
734,chortle.01.2009,va:0339f
735,chortle.02,va:0339f
736,christen.01,va:0121f
737,chronicle.01,va:0216f
738,chuck.01,va:0255f
739,chuckle.01,va:0339f
740,chuckle.02,va:0339f
741,chug.03,va:0137f
742,churn.01,va:0030f
743,cinch.03,va:0244f
744,circle.01,va:0030f
745,circle.02,va:0420f
746,circuit.01,va:0175f
747,circulate.01,va:0247f
748,circumcise.01,va:0458f
749,circumscribe.01,va:0181f
750,circumvent.01,va:0260f
751,cite.01,va:0547f
752,cite.02,va:0067f
753,claim.01,va:0424f
754,claim.02,va:0330f
755,clamber.01,va:0219f
756,clamor.01,va:0330f
757,clamp.01,va:0206f
758,clang.01,va:0240f
759,clank.02,va:0240f
760,clap.01,va:0092f
761,clarify.01,va:0314f
762,clash.01,va:0313f
763,classify.01,va:0380f
764,classify.02,va:0126f
765,claw.02,va:0139f
766,clean.01,va:0155f
767,clean.02,va:0155f
768,clean.03,va:0457f
769,cleanse.01,va:0155f
770,clear.01,va:0155f
771,clear.02,va:0011f
772,clear.03,va:0101f
773,clear.04,va:0239f
774,clench.01,va:0469f
775,click.01,va:0240f
776,climax.01,va:0429f
777,climb.01,va:0219f
778,climb.02,va:0430f
779,clinch.01,va:0427f
780,cling.01,va:0419f
781,clink.01,va:0240f
782,clip.01,va:0458f
783,clip.02,va:0458f
784,cloak.01,va:0473f
785,clobber.01,va:0092f
786,clock.01,va:0364f
787,clock.02,va:0201f
788,clog.02,va:0029f
789,clog.03,va:0029f
790,clone.01,va:0430f
791,close.01,va:0212f
792,close.02,va:0429f
793,close.03,va:0427f
794,close.04,va:0429f
795,close.05,va:0307f
796,close.06,va:0292f
797,close.07,va:0137f
798,clothe.01,va:0553f
799,cloud.01,va:0473f
800,clown.02,va:0017f
801,club.01,va:0092f
802,cluster.01,va:0396f
803,clutch.01,va:0079f
804,clutter.01,va:0421f
805,co-author.01,va:0382f
806,co-exist.01,va:0526f
807,co-found.01,va:0583f
808,co-sponsor.01,va:0022f
809,coach.01,va:0345f
810,coast.01,va:0030f
811,coat.01,va:0249f
812,coax.01,va:0086f
813,cobble.01,va:0483f
814,coddle.01,va:0311f
815,code.01,va:0248f
816,code.02,va:0382f
817,codify.01,va:0380f
818,cohabit.01,va:0509f
819,cohere.01,va:0434f
820,coil.01,va:0056f
821,coil.02,va:0056f
822,coin.01,va:0382f
823,coincide.01,va:0111f
824,collaborate.01,va:0217f
825,collapse.01,va:0058f
826,collapse.02,va:0533f
827,collect.01,va:0396f
828,collide.01,va:0092f
829,collude.01,va:0217f
830,colonize.01,va:0243f
831,color.01,va:0442f
832,comb.01,va:0197f
833,comb.02,va:0459f
834,combat.01,va:0360f
835,combine.01,va:0434f
836,come.01,va:0504f
837,come.02,va:0173f
838,come.03,va:0105f
839,come.04,va:0103f
840,come.05,va:0185f
841,come.06,va:0111f
842,come.07,va:0103f
843,come.08,va:0113f
844,come.09,va:0111f
845,come.11,va:0060f
846,come.12,va:0628f
847,come.13,va:0033f
848,come.14,va:0093f
849,come.15,va:0511f
850,come.16,va:0292f
851,come.17,va:0015f
852,come.18,va:0288f
853,come.19,va:0137f
854,come.20,va:0010f
855,come.21,va:0033f
856,come.22,va:0138f
857,come.23,va:0438f
858,come.25,va:0137f
859,comfort.01,va:0573f
860,command.01,va:0512f
861,command.02,va:0072f
862,commandeer.01,va:0301f
863,commemorate.01,va:0159f
864,commence.01,va:0046f
865,commend.01,va:0101f
866,comment.01,va:0314f
867,comment.02,va:0314f
868,commercialize.01,va:0229f
869,commiserate.01,va:0582f
870,commission.01,va:0330f
871,commit.01,va:0189f
872,commit.02,va:0356f
873,commodify.01,va:0564f
874,communicate.01,va:0177f
875,commute.01,va:0137f
876,compact.01,va:0469f
877,compare.01,va:0196f
878,compel.01,va:0050f
879,compensate.01,va:0306f
880,compete.01,va:0410f
881,compile.01,va:0396f
882,complain.01,va:0009f
883,complement.01,va:0157f
884,complete.01,va:0429f
885,complicate.01,va:0432f
886,compliment.01,va:0101f
887,comply.01,va:0002f
888,compose.01,va:0341f
889,compose.02,va:0382f
890,compound.01,va:0434f
891,comprehend.01,va:0093f
892,compress.01,va:0469f
893,comprise.01,va:0082f
894,compromise.01,va:0427f
895,compromise.02,va:0461f
896,compute.01,va:0064f
897,computerize.01,va:0481f
898,con.01,va:0329f
899,conceal.01,va:0473f
900,concede.01,va:0316f
901,concede.02,va:0316f
902,conceive.01,va:0021f
903,conceive.02,va:0382f
904,concentrate.01,va:0343f
905,concentrate.02,va:0564f
906,concern.01,va:0582f
907,concern.02,va:0628f
908,conclude.01,va:0413f
909,conclude.02,va:0429f
910,concoct.01,va:0382f
911,concrete.01,va:0152f
912,concur.01,va:0025f
913,condemn.01,va:0050f
914,condense.01,va:0564f
915,condition.01,va:0050f
916,condition.02,va:0582f
917,condone.01,va:0425f
918,conduct.01,va:0247f
919,conduct.02,va:0017f
920,confer.01,va:0336f
921,confer.02,va:0189f
922,confess.01,va:0316f
923,confide.01,va:0348f
924,configure.01,va:0091f
925,confine.01,va:0578f
926,confirm.01,va:0424f
927,confiscate.01,va:0239f
928,conflict.01,va:0627f
929,conform.01,va:0091f
930,confront.01,va:0373f
931,confuse.01,va:0582f
932,congeal.01,va:0564f
933,congest.01,va:0029f
934,congratulate.01,va:0101f
935,congregate.01,va:0368f
936,conjecture.01,va:0045f
937,conjure.01,va:0382f
938,connect.01,va:0580f
939,connote.01,va:0213f
940,conquer.01,va:0125f
941,consent.01,va:0025f
942,conserve.01,va:0128f
943,consider.01,va:0021f
